City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Bartica,GY,2022-05-14 08:25:12,6.4,-58.6167,75.52,99,55,1.34
253,Cherskiy,RU,2022-05-14 08:25:13,68.75,161.3,38.64,88,100,14.45
254,Lindi,TZ,2022-05-14 08:25:13,-10.0,39.7167,84.7,51,0,5.84
255,Inhambane,MZ,2022-05-14 08:25:14,-23.865,35.3833,77.54,61,5,4.41
256,Poya,NC,2022-05-14 08:25:14,-21.35,165.15,72.59,77,100,6.38
257,Sourpi,GR,2022-05-14 08:25:15,39.1,22.9,77.47,60,20,8.05
258,Mangaluru,IN,2022-05-14 08:25:15,12.8667,74.8833,90.46,66,40,11.5
259,Pevek,RU,2022-05-14 08:25:16,69.7008,170.3133,33.84,81,100,18.68
260,Nossa Senhora Da Gloria,BR,2022-05-14 08:25:16,-10.2183,-37.4203,70.61,93,72,6.24
261,Puri,IN,2022-05-14 08:25:16,19.8,85.85,91.92,72,75,16.58
262,Bonavista,CA,2022-05-14 08:25:17,48.6499,-53.1147,33.84,88,100,9.6
263,Pisco,PE,2022-05-14 08:25:17,-13.7,-76.2167,60.03,94,1,2.3
264,Hobart,AU,2022-05-14 08:23:48,-42.8794,147.3294,63.27,73,75,10.36
265,Hamilton,US,2022-05-14 08:21:21,39.1834,-84.5333,67.05,87,0,3.44
266,Kruisfontein,ZA,2022-05-14 08:25:18,-34.0033,24.7314,64.89,57,59,14.54
267,Fukue,JP,2022-05-14 08:25:18,32.6881,128.8419,68.36,56,0,9.22
268,Norden,DE,2022-05-14 08:25:19,53.6,7.2,63.95,80,98,13.22
269,Panshi,CN,2022-05-14 08:25:20,42.9422,126.0561,55.6,39,85,11.79
270,Aripuana,BR,2022-05-14 08:25:20,-9.1667,-60.6333,72.81,90,36,1.59
271,Phan Thiet,VN,2022-05-14 08:25:21,10.9333,108.1,88.03,69,70,11.95
272,Longjiang,CN,2022-05-14 08:25:21,47.3303,123.1836,61.81,28,100,14.29
273,Canon City,US,2022-05-14 08:25:21,38.441,-105.2424,59.5,16,0,6.91
274,Tifton,US,2022-05-14 08:25:22,31.4505,-83.5085,66.16,96,0,0.0
275,Codrington,AU,2022-05-14 08:25:22,-38.2667,141.9667,62.62,67,5,11.74
276,Manta,EC,2022-05-14 08:25:23,-0.95,-80.7333,74.98,88,100,5.75
277,Tezu,IN,2022-05-14 08:25:23,27.9167,96.1667,73.06,98,100,3.0
278,Chupa,RU,2022-05-14 08:25:23,66.27,33.0549,53.11,69,14,4.25
279,Montijo,PT,2022-05-14 08:25:24,38.7067,-8.9739,73.04,60,0,10.36
280,Honningsvag,NO,2022-05-14 08:25:24,70.9821,25.9704,38.95,65,100,4.61
281,Bangkalan,ID,2022-05-14 08:25:25,-7.0455,112.7351,87.75,72,100,7.43
282,Chapais,CA,2022-05-14 08:25:25,49.7834,-74.8492,49.78,96,77,4.7
283,Zrenjanin,RS,2022-05-14 08:25:25,45.3836,20.3819,71.29,58,19,9.6
284,Ust-Kuyga,RU,2022-05-14 08:25:26,70.0167,135.6,24.6,78,100,10.29
285,Seoul,KR,2022-05-14 08:25:26,37.5683,126.9778,67.39,34,0,20.71
286,Hobyo,SO,2022-05-14 08:25:27,5.3505,48.5268,88.18,58,100,18.99
287,Plettenberg Bay,ZA,2022-05-14 08:25:27,-34.0527,23.3716,62.89,59,80,9.37
