City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
320,Reserva,BR,-24.6503,-50.8506,56.39,100,100,2.21,light rain
321,Labrea,BR,-7.2586,-64.7981,74.16,98,68,2.77,broken clouds
322,Tuni,IN,17.35,82.55,88.34,70,30,6.4,scattered clouds
323,Sarkand,KZ,45.41,79.9186,60.08,76,100,2.37,light rain
324,Aksay,RU,47.26,39.87,56.25,88,71,7.0,broken clouds
325,Karaton,ID,-6.3424,106.1045,87.33,63,96,0.81,overcast clouds
326,Jacqueville,CI,5.2052,-4.4146,80.26,83,68,6.78,broken clouds
327,Northam,GB,51.0333,-4.2167,53.62,94,100,7.67,overcast clouds
328,Sakaraha,MG,-22.9,44.5333,62.89,62,0,1.77,clear sky
329,Ust-Ishim,RU,57.6935,71.1665,57.49,61,28,7.16,scattered clouds
330,La Rioja,ES,42.25,-2.5,49.78,87,83,8.12,broken clouds
331,Laguna,US,38.421,-121.4238,89.89,17,0,8.05,clear sky
332,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,55.02,91,0,4.54,clear sky
333,Tautira,PF,-17.7333,-149.15,80.58,72,14,10.89,few clouds
334,Kahului,US,20.8947,-156.47,82.42,54,40,20.71,scattered clouds
335,Hirado,JP,33.3597,129.5531,68.4,56,100,11.32,light rain
336,Cuamba,MZ,-14.8031,36.5372,59.13,93,21,2.19,few clouds
337,Alizai,PK,33.5383,70.3462,90.23,11,81,3.33,broken clouds
338,Keerbergen,BE,51.0022,4.6369,56.95,82,0,1.14,clear sky
339,Bairiki,KI,1.3292,172.9752,86.0,70,20,3.44,few clouds
340,Tura,IN,25.5198,90.2201,78.37,90,94,7.4,overcast clouds
341,Tsabong,BW,-26.0217,22.401,58.68,21,0,8.34,clear sky
342,Yarmouth,US,41.7057,-70.2286,65.64,95,100,12.66,mist
343,Salalah,OM,17.0151,54.0924,80.69,61,2,3.44,clear sky
344,Tuatapere,NZ,-46.1333,167.6833,55.04,69,13,3.51,few clouds
345,Boffa,GN,10.1667,-14.0333,79.5,88,65,3.94,broken clouds
346,Mayo,US,38.8876,-76.5119,67.35,94,100,3.44,mist
